SYSCALL(args) 		 = return
getgid(0x0, 0x10023E97, 0x0)		 = 0 0
getegid(0x0, 0x10023E97, 0x0)		 = 0 0
getrlimit(0x1008, 0x7FFF5FBFF320, 0x7FFF8566F80C)		 = 0 0
open_nocancel("/var/folders/xh/xhUg+BgeHp8hhi8Kt3qIKU+++TM/-Tmp-/foo.rb20110611-61555-w7gncf-0\0", 0x0, 0x1B6)		 = 3 0
close_nocancel(0x3)		 = 0 0
open_nocancel("/var/folders/xh/xhUg+BgeHp8hhi8Kt3qIKU+++TM/-Tmp-/foo.rb20110611-61555-w7gncf-0\0", 0x0, 0x1B6)		 = 3 0
fstat64(0x3, 0x7FFF5FBFF2B0, 0x7FFF5FBFF37C)		 = 0 0
read_nocancel(0x3, "\0", 0x1000)		 = 0 0
sigaction(0x2, 0x7FFF5FBFF4A0, 0x7FFF5FBFF4D0)		 = 0 0
close_nocancel(0x3)		 = 0 0
madvise(0x7FFF896EF000, 0x2000, 0x5)		 = 0 0
open("/dev/dtracehelper\0", 0x2, 0x7FFF5FC45490)		 = 3 0
ioctl(0x3, 0x80086804, 0x7FFF5FBFD320)		 = 0 0
close(0x3)		 = 0 0
__sysctl(0x7FFF5FBFD210, 0x2, 0x7FFF5FBFD200)		 = 0 0
bsdthread_register(0x7FFF856A539C, 0x7FFF85685FB8, 0x2000)		 = 0 0
thread_selfid(0x7FFF856A539C, 0x7FFF85685FB8, 0x0)		 = 385865 0
open_nocancel("/dev/urandom\0", 0x0, 0x7FFF70A6EBE0)		 = 3 0
read_nocancel(0x3, "\303\266-lv\020al\260\247\300\036f>\301\341\341\230\037n\3768\2351 \036\373\002\334\216\317\226m\241-\a\212\233%\354I\023y\323}\vJ\0348\264\fC\033\375v\250A\310\0", 0x40)		 = 64 0
close_nocancel(0x3)		 = 0 0
mmap(0x0, 0x3000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x147000 0
__sysctl(0x7FFF5FBFD090, 0x2, 0x7FFF5FBFD050)		 = 0 0
__sysctl(0x7FFF5FBFD050, 0x2, 0x7FFF5FBFD0E8)		 = 0 0
getpid(0x7FFF5FBFCFE0, 0x7FFFFFE00050, 0x0)		 = 61560 0
open_nocancel("/dev/urandom\0", 0x0, 0x0)		 = 3 0
read_nocancel(0x3, "u8\312\267Vo\271i\272\034\017w\002\321\244k6\330[9R\311\034?!\344\001\330X\271\2706e\210\350{\366\353\356\006\017#\225\344\317\354T\234\347a\255\260\024\332\351(g\343\377Xd$\366\305}\320\223\322\324\277\034Pk\021\371\ri\307\006\302WYs\322\223\212\2372n\212\376P\264\231\331\345\021-\265\366D\371<\271n\273\313J\0", 0x6C)		 = 108 0
close_nocancel(0x3)		 = 0 0
__sysctl(0x7FFF5FBFD090, 0x2, 0x7FFF5FBFD0BC)		 = 0 0
mmap(0x0, 0x17000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x14A000 0
mmap(0x0, 0x17000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x161000 0
mmap(0x0, 0x1000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x178000 0
mmap(0x0, 0x200000, 0x3, 0x1002, 0x7000000, 0x7FFF00000001)		 = 0x179000 0
munmap(0x100179000, 0x87000)		 = 0 0
munmap(0x100300000, 0x79000)		 = 0 0
__sysctl(0x7FFF5FBFD1F0, 0x2, 0x7FFF5FBFD1B0)		 = 0 0
__sysctl(0x7FFF5FBFD1B0, 0x2, 0x7FFF70A7B760)		 = 0 0
__sysctl(0x7FFF5FBFD1F0, 0x2, 0x7FFF5FBFD1B0)		 = 0 0
__sysctl(0x7FFF5FBFD1B0, 0x2, 0x7FFF70A7B764)		 = 0 0
__sysctl(0x7FFF5FBFD1F0, 0x2, 0x7FFF5FBFD1B0)		 = 0 0
__sysctl(0x7FFF5FBFD1B0, 0x2, 0x7FFF70A7B768)		 = 0 0
mmap(0x0, 0x3000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x179000 0
__sysctl(0x7FFF5FBFD1C0, 0x2, 0x7FFF5FBFD180)		 = 0 0
__sysctl(0x7FFF5FBFD180, 0x2, 0x7FFF5FBFD218)		 = 0 0
__sysctl(0x7FFF5FBFD1C0, 0x2, 0x7FFF5FBFD1EC)		 = 0 0
mmap(0x0, 0x17000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x17C000 0
mmap(0x0, 0x17000, 0x3, 0x1002, 0x1000000, 0x7FFF00000001)		 = 0x193000 0
mmap(0x0, 0x200000, 0x3, 0x1002, 0x7000000, 0x7FFF00000001)		 = 0x300000 0
munmap(0x100400000, 0x100000)		 = 0 0

